,noun1,noun2,noun1_freq,noun2_freq,sim,sim_custom_fasttext,sim_custom_word2vec,pmi,pmi_win3,pmi_win5,pmi_win10,n1_clf_cnt,n2_clf_cnt,shared_clf_cnt,sum_prop
0,危机感,音效,202,191,0.16445858776569366,-0.07806287705898285,-0.05016441270709038,-11.848020003081778,-11.848020003081778,-11.848020003081778,-11.848020003081778,2,6,1,0.6666666666666666
1,年历,针孔,57,51,0.15318572521209717,-0.08438583463430405,0.4543454945087433,0.0,0.0,0.0,-9.262355778462474,5,2,0,0.0
2,干将,遗民,32,28,0.21250808238983154,0.03707311302423477,0.393274188041687,0.0,0.0,-8.085419291176654,-8.085419291176654,4,2,2,1.5
3,经济区,差别,2373,2143,0.14111076295375824,0.00420112581923604,-0.08193829655647278,-16.729351129450304,-16.729351129450304,-16.729351129450304,2.384476800062008,9,8,2,0.4722222222222222
4,表述,本金,766,762,0.15743692219257355,0.07761861383914948,0.029566816985607147,-14.564607602985497,-14.564607602985497,-14.564607602985497,-14.564607602985497,11,4,0,0.0
5,窠臼,录取率,78,66,0.11497901380062103,-0.09514575451612473,-0.06683464348316193,0.0,-9.83384244652782,-9.83384244652782,-9.83384244652782,2,1,0,0.0
6,彩民,赛区,555,485,0.25888824462890625,0.016597438603639603,0.37018296122550964,-13.790595882254635,-13.790595882254635,-13.790595882254635,-13.790595882254635,7,3,0,0.0
7,抉择,力气,694,665,0.26770368218421936,0.07373998314142227,0.05984622985124588,-14.329737878724186,-14.329737878724186,-14.329737878724186,-14.329737878724186,6,6,2,0.6666666666666666
8,强迫症,钢圈,42,36,0.28711679577827454,-0.05744845047593117,0.25429001450538635,0.0,0.0,0.0,0.0,1,1,0,0.0
9,生物钟,群英会,43,37,0.247622549533844,-0.06865019351243973,0.30669131875038147,0.0,0.0,0.0,0.0,1,1,0,0.0
10,彩车,伪军,76,75,0.17552918195724487,0.03252788260579109,0.3575791120529175,0.0,0.0,0.0,0.0,3,2,1,0.8333333333333333
11,主干,星球,292,250,0.08550282567739487,0.06963547319173813,0.11829046159982681,-12.485693597736857,-12.485693597736857,-12.485693597736857,-12.485693597736857,5,3,1,0.5333333333333333
12,转盘,群英会,38,37,0.2898296117782593,0.06900007277727127,0.1881508082151413,-8.53598295043612,-8.53598295043612,-8.53598295043612,-8.53598295043612,2,1,0,0.0
13,粮荒,群英会,40,37,0.2706395387649536,-0.01488379668444395,0.357889324426651,0.0,0.0,0.0,-8.587276244810512,1,1,1,2.0
14,牲口,转盘,39,38,0.17602212727069855,-0.007076004985719919,0.15454311668872833,0.0,0.0,-8.588626683907682,-8.588626683907682,3,2,0,0.0
15,敏感,换文,210,196,0.06328379362821579,0.023492584004998207,-0.007046795450150967,-11.912701067578707,-11.912701067578707,-11.912701067578707,-11.912701067578707,3,5,1,0.5333333333333333
16,船厂,城中村,215,211,0.20300206542015076,-0.07391581684350967,0.302884042263031,-12.009975039229715,-12.009975039229715,-12.009975039229715,-12.009975039229715,4,3,1,0.5833333333333333
17,相关性,专注,184,179,0.25335830450057983,-0.08468398451805115,0.11561433225870132,-11.689800441092036,-11.689800441092036,-11.689800441092036,-11.689800441092036,2,4,2,1.5
18,主干,空缺,292,269,0.23621384799480438,0.013942203484475613,0.15741251409053802,-12.558944059473625,-12.558944059473625,-12.558944059473625,-12.558944059473625,5,8,1,0.325
19,演播室,公益林,115,107,0.15272662043571472,0.06995077431201935,-0.009682995267212391,0.0,-10.705239840537653,-10.705239840537653,-10.705239840537653,2,3,0,0.0
20,大厂,课长,86,71,0.2644931375980377,0.0588223822414875,0.16237890720367432,0.0,-10.004506051084029,-10.004506051084029,-10.004506051084029,1,1,0,0.0
21,本票,水合物,65,61,0.1903669834136963,0.01829187199473381,-0.02936728484928608,-9.57274001191881,-9.57274001191881,-9.57274001191881,-9.57274001191881,3,1,0,0.0
22,噩耗,探,135,134,0.17878574132919312,0.02443079836666584,0.20343607664108276,0.0,0.0,0.0,-11.090593456070124,1,3,0,0.0
23,衬衣,探,143,134,0.05736903101205826,0.05596577003598213,0.22138945758342743,0.0,0.0,-11.148163307887458,-11.148163307887458,2,3,0,0.0
24,自然村,衬衣,146,143,0.17055997252464294,0.013099614530801773,0.044923774898052216,-11.233930129638749,-11.233930129638749,-11.233930129638749,-11.233930129638749,3,2,0,0.0
25,傻子,公告栏,107,106,0.11215279996395111,-0.018060313537716866,0.17186574637889862,-10.623746806293852,-10.623746806293852,-10.623746806293852,-10.623746806293852,1,2,1,1.5
26,年历,敞篷车,57,49,0.18446868658065796,0.06538112461566925,0.3819516897201538,0.0,0.0,0.0,-9.22235044385678,5,4,0,0.0
27,总资产,群英会,47,37,0.07071834057569504,-0.042187534272670746,0.3584563732147217,0.0,0.0,0.0,0.0,1,1,0,0.0
28,石,刀,2181,2162,0.26260387897491455,0.05765876919031143,0.5237051844596863,2.460021287570236,3.1531684656301815,3.376312016444391,3.846315644940127,21,16,4,0.44047619047619047
29,功勋,星球,253,250,0.1380024254322052,0.07531387358903885,0.1882643848657608,-12.342329284201375,-12.342329284201375,-12.342329284201375,-12.342329284201375,3,3,0,0.0
30,乘法,政工,99,95,0.18046464025974274,-0.04140271991491318,0.0017781524220481515,-10.436475619473486,-10.436475619473486,-10.436475619473486,-10.436475619473486,1,1,0,0.0
31,抉择,驾驶人,694,650,0.1662266105413437,-0.03419198840856552,-0.022424140945076942,-14.306923200958362,-14.306923200958362,-14.306923200958362,-14.306923200958362,6,3,1,0.5
