,noun1,noun2,noun1_freq,noun2_freq,sim,sim_custom_fasttext,sim_custom_word2vec,pmi,pmi_win3,pmi_win5,pmi_win10,n1_clf_cnt,n2_clf_cnt,shared_clf_cnt,sum_prop
0,厂务,植物人,117,91,0.11520596593618393,0.15807142853736877,-0.1262933760881424,0.0,0.0,-10.560512319042047,-10.560512319042047,1,2,0,0.0
1,脑部,草场,220,186,0.22892916202545166,-0.02984314039349556,0.26413342356681824,-11.906853097696862,-11.906853097696862,-11.906853097696862,-11.906853097696862,1,4,0,0.0
2,屎,联交所,134,127,0.028184890747070312,0.023402104154229164,-0.20466527342796326,-11.029505764094951,-11.029505764094951,-11.029505764094951,-11.029505764094951,5,1,0,0.0
3,甲肝,伴郎,52,49,0.15673406422138214,0.043854814022779465,0.05899140611290932,0.0,0.0,0.0,0.0,1,2,0,0.0
4,大堂,主体性,303,283,0.08959653973579407,0.013865867629647255,-0.2561030387878418,0.0,0.0,-12.646658580753027,-12.646658580753027,7,1,0,0.0
5,强迫症,合作案,42,37,0.05481777340173721,-0.018711280077695847,0.021082093939185143,0.0,0.0,0.0,0.0,1,2,0,0.0
6,左腿,句点,112,105,0.10837692022323608,0.0026284274645149708,0.09721416234970093,-10.659938099169223,-10.659938099169223,-10.659938099169223,-10.659938099169223,2,1,1,1.5
7,性骚扰,要道,163,152,0.09102577716112137,-0.038880083709955215,-0.010251250118017197,0.0,0.0,-11.40510959931226,-11.40510959931226,1,2,0,0.0
8,内分泌,征战,200,191,0.19017687439918518,-0.05509519577026367,-0.08093716949224472,-11.838069672229105,-11.838069672229105,-11.838069672229105,-11.838069672229105,1,7,1,1.1428571428571428
9,组头,位阶,43,38,1.0,-0.09545019268989563,0.1707940697669983,0.0,0.0,0.0,0.0,2,2,0,0.0
10,狂人,耳环,164,134,0.1256713718175888,0.03437422215938568,0.2466556280851364,0.0,0.0,0.0,-11.285185105442794,5,7,1,0.34285714285714286
11,单项,琴,548,421,0.10854795575141907,0.11137105524539948,-0.0028559688944369555,-13.63638699820448,-13.63638699820448,-13.63638699820448,-13.63638699820448,2,8,1,0.625
12,子项目,手信,32,31,0.022907134145498276,0.16222688555717468,0.3616044521331787,0.0,0.0,-8.187201985452035,-8.187201985452035,1,1,0,0.0
13,交谈,贬值,531,421,0.251956582069397,0.02251349948346615,-0.1263597160577774,-13.604873732498987,-13.604873732498987,-13.604873732498987,-13.604873732498987,8,3,1,0.4583333333333333
14,工时,居民区,254,229,0.24060600996017456,0.04809636250138283,0.06096097454428673,-12.258535148187896,-12.258535148187896,-12.258535148187896,-12.258535148187896,4,2,1,0.75
15,单项,小店,548,475,0.05699092894792557,0.050530318170785904,-0.015987079590559006,-13.757068968554039,-13.757068968554039,-13.757068968554039,-13.757068968554039,2,5,1,0.7
16,毒性,居民区,299,229,0.21488849818706512,-0.04723425582051277,0.1097913607954979,-12.421644454554121,-12.421644454554121,-12.421644454554121,-12.421644454554121,2,2,0,0.0
17,票数,资历,378,365,0.34604212641716003,-0.029567254707217216,0.29327312111854553,-13.122270426788013,-13.122270426788013,-13.122270426788013,-13.122270426788013,5,7,1,0.34285714285714286
18,票数,古董,378,325,0.045107077807188034,-0.015186400152742863,-0.2216385006904602,-13.006198255538632,-13.006198255538632,-13.006198255538632,-13.006198255538632,5,9,1,0.3111111111111111
19,国教,缺额,74,70,0.18429850041866302,0.052701592445373535,0.2415604293346405,0.0,0.0,-9.840039213063603,-9.840039213063603,1,2,0,0.0
20,歌舞剧,句点,114,105,0.24521775543689728,-0.024821428582072258,0.37651577591896057,0.0,0.0,-10.677637676267057,-10.677637676267057,3,1,0,0.0
21,国宝,甲子,307,253,0.14017215371131897,0.013962498866021633,0.34784868359565735,-12.547716113918899,-12.547716113918899,-12.547716113918899,-12.547716113918899,10,3,1,0.43333333333333335
22,裸照,轮毂,89,71,0.16794320940971375,-0.0455203652381897,0.14580577611923218,0.0,0.0,0.0,-10.038795124558742,1,1,0,0.0
23,会审,轮毂,81,71,0.1949443817138672,-0.018707986921072006,0.02026832289993763,0.0,0.0,-9.944607909510138,-9.944607909510138,1,1,0,0.0
24,纸袋,参赛队,65,57,0.18439285457134247,-0.0670338049530983,0.07588165998458862,0.0,0.0,0.0,0.0,3,3,1,0.6666666666666666
25,善,发育,1023,952,0.06595383584499359,-0.020643770694732666,0.06524010002613068,-15.076538678295353,-15.076538678295353,-15.076538678295353,-15.076538678295353,3,3,1,0.6666666666666666
26,枯枝,头盖骨,31,27,0.17526841163635254,-0.04722462594509125,0.5957110524177551,0.0,0.0,0.0,0.0,3,2,1,0.8333333333333333
27,纸袋,鞠躬,65,60,0.16273966431617737,0.04611777514219284,0.19863106310367584,0.0,0.0,0.0,0.0,3,1,1,1.3333333333333333
28,外衣,居民区,273,229,0.07716181874275208,0.029046278446912766,0.0774502381682396,-12.330672676351579,-12.330672676351579,-12.330672676351579,-12.330672676351579,6,2,1,0.6666666666666666
29,货量,掐,64,51,0.08938230574131012,-0.019707579165697098,-0.08248357474803925,-9.378187593968407,-9.378187593968407,-9.378187593968407,-9.378187593968407,2,1,0,0.0
30,舞美,掐,61,51,0.02031051553785801,-0.01792360097169876,-0.03554588928818703,0.0,0.0,0.0,-9.330178374789732,1,1,0,0.0
31,妙语,合作案,40,37,0.13882535696029663,0.0278231892734766,0.2466365396976471,0.0,0.0,-8.587276244810512,-8.587276244810512,2,2,0,0.0
32,航程,工时,265,254,0.1569409817457199,-0.017004473134875298,0.33346033096313477,0.0,-12.404542970613946,-12.404542970613946,-12.404542970613946,7,4,2,0.7857142857142857
33,雾,声势,698,587,0.2342528998851776,-0.0042303684167563915,0.23422206938266754,-14.210722800153913,-14.210722800153913,-14.210722800153913,-14.210722800153913,13,2,1,0.5769230769230769
34,单项,贬值,548,421,0.16726097464561462,-0.02485858090221882,-0.02106858789920807,-13.63638699820448,-13.63638699820448,-13.63638699820448,-13.63638699820448,2,3,0,0.0
35,流域,大桥,2377,2250,0.26342645287513733,0.047838497906923294,0.5194728970527649,-16.779758840099394,-16.779758840099394,-16.779758840099394,1.6409219138529725,3,6,2,1.0
36,票数,古籍,378,351,0.10208606719970703,-0.07846050709486008,-0.13431048393249512,-13.08315929667248,-13.08315929667248,-13.08315929667248,-13.08315929667248,5,3,0,0.0
37,明码,歌舞剧,122,114,0.13390852510929108,0.027544312179088593,-0.046331342309713364,0.0,0.0,-10.82769837082952,-10.82769837082952,1,3,0,0.0
38,甲肝,色香味,52,50,0.2667098641395569,0.08615048974752426,0.1660921275615692,0.0,0.0,0.0,0.0,1,2,0,0.0
39,陪审团,植物人,107,91,0.21556313335895538,-0.02702006697654724,0.24222497642040253,0.0,-10.471167218714186,-10.471167218714186,-10.471167218714186,1,2,1,1.5
40,金花,预感,102,96,0.1508607119321823,-0.009628272615373135,0.0654497742652893,-10.476799882486395,-10.476799882486395,-10.476799882486395,-10.476799882486395,5,3,0,0.0
41,组头,合作案,43,37,1.0,0.05498266592621803,0.2323089838027954,0.0,0.0,0.0,0.0,2,2,0,0.0
42,国宝,静坐,307,288,0.10986142605543137,-0.048601310700178146,-0.014552583917975426,-12.67728710532252,-12.67728710532252,-12.67728710532252,-12.67728710532252,10,3,0,0.0
43,老二,新闻纸,209,202,0.09558473527431488,0.00638018362224102,0.07019297033548355,-11.93808082699545,-11.93808082699545,-11.93808082699545,-11.93808082699545,5,2,1,0.7
44,不公,堆,225,195,0.121316097676754,-0.013100148178637028,1.0,-11.976578838395975,-11.976578838395975,-11.976578838395975,-11.976578838395975,2,6,1,0.6666666666666666
45,敬意,小店,530,475,0.11599472165107727,0.0013558651553466916,-0.02966001071035862,-13.723670688152811,-13.723670688152811,-13.723670688152811,-13.723670688152811,7,5,1,0.34285714285714286
46,参赛队,同路人,57,54,0.06593962758779526,-0.01651104912161827,0.20790189504623413,0.0,0.0,-9.31951419229153,-9.31951419229153,3,2,1,0.8333333333333333
47,货量,同路人,64,54,0.09472322463989258,0.04305277019739151,-0.08144248276948929,-9.435346007797463,-9.435346007797463,-9.435346007797463,-9.435346007797463,2,2,0,0.0
48,速写,位阶,39,38,0.17521673440933228,0.05159447714686394,0.1444670706987381,0.0,0.0,0.0,0.0,1,2,0,0.0
